year,avgPrice,minPrice,maxPrice,numProviders
2011,20.80697551233048,0.450000000000000011102230246251565404236316680908203125,36.85799999999999698729880037717521190643310546875,2879
2012,20.22197841347845,0.450000000000000011102230246251565404236316680908203125,28.821000000000001506350599811412394046783447265625,2849
2013,19.86205409777115,0.450000000000000011102230246251565404236316680908203125,27.0210000000000007958078640513122081756591796875,2782
2014,19.98104552410124,0.0,27.59400000000000119371179607696831226348876953125,2614
2015,20.37705090979451,0.0,27.196999999999999175770426518283784389495849609375,2583
2016,20.24051817826421,0.0,27.77499999999999857891452847979962825775146484375,2558
2017,19.9380626746508,0.0,26.687999999999998834709913353435695171356201171875,2505
2018,20.96750037490597,0.0,27.91100000000000136424205265939235687255859375,4001
2019,20.88305116741231,0.0,27.830999999999999516830939683131873607635498046875,4026
2020,20.93995540025425,0.0,27.64699999999999846522769075818359851837158203125,3935
2021,20.97820889376898,0.0,27.81099999999999994315658113919198513031005859375,3643
2022,21.48971247357258,8.1929999999999996163069226895458996295928955078125,28.40599999999999880628820392303168773651123046875,3784
2023,27.35609633552774,8.4930000000000003268496584496460855007171630859375,70.7759999999999962483343551866710186004638671875,3493
2024,31.59926695419356,10.2230000000000007531752999057061970233917236328125,57.4759999999999990905052982270717620849609375,3362
2025,29.04596049304648,9.053000000000000824229573481716215610504150390625,56.4759999999999990905052982270717620849609375,3164
2026,27.93074662050788,9.643000000000000682121026329696178436279296875,43.61299999999999954525264911353588104248046875,3033
